有一点儿	有一点儿 abit
无害的	无害的 harmless
不喜欢	不喜欢 hate
患头痛	患头痛 haveaheadache
一会儿	一会儿 havearest inaminute presently while
吃早餐	吃早餐 havebreakfast
吃早饭	吃早饭 havebreakfast
不得不	不得不 havegotto haveto
吃午饭	吃午饭 havelunch
与无关	与无关 havenothingtodowith
有约会	有约会 haveon
服点药	服点药 havesomemedicine
吃晚饭	吃晚饭 havesupper
健康的	健康的 healthy well
把加热	把加热 heat
激烈的	激烈的 heated
脚后跟	脚后跟 heel
有益的	有益的 helpful useful
随便吃	随便吃 helponeselfto helpyourself
在这里	在这里 here
向这里	向这里 here
这儿有	这儿有 Here's
她自己	她自己 herself
躲藏处	躲藏处 hidingplace
储藏处	储藏处 hidingplace
高度地	高度地 highly
多层的	多层的 highrise
高层的	高层的 highrise
丘陵的	丘陵的 hilly
他自己	他自己 himself
后部的	后部的 hind
历史学	历史学 history
希特勒	希特勒 Hitler
等一等	等一等 holdon
憋住气	憋住气 holdone'sbreath
中空的	中空的 hollow
诚实的	诚实的 honest
正直的	正直的 honest
蜜乳液	蜜乳液 honeydewmilk
绝望的	绝望的 hopeless
无望的	无望的 hopeless
你好吗	你好吗 Howareyou
庞大的	庞大的 huge
人类的	人类的 human
幽默感	幽默感 humour
饥饿的	饥饿的 hungry
冰淇淋	冰淇淋 icecream
是不是	是不是 if
不健康	不健康 ill
想象力	想象力 imagination
我就来	我就来 I'mcoming
快速的	快速的 immediate
马上的	马上的 immediate
在里面	在里面 in within
低声地	低声地 inalowvoice
小事件	小事件 incident
使倾斜	使倾斜 incline
真正地	真正地 indeed really truly
独立的	独立的 independent separate
印度的	印度的 Indian
间接的	间接的 indirect
在屋里	在屋里 indoors
工业的	工业的 industrial
用英语	用英语 inEnglish
受伤的	受伤的 injured wounded
受伤处	受伤处 injury
一生中	一生中 inlife
小旅馆	小旅馆 inn
内蒙古	内蒙古 InnerMongolia
有条理	有条理 inorder order
安宁的	安宁的 inpeace peaceful
公开地	公开地 inpublic
沉默地	沉默地 insilence
无声地	无声地 insilence
在空间	在空间 inspace
检查员	检查员 inspector
而不是	而不是 insteadof
研究所	研究所 institute
惊奇地	惊奇地 insurprise
关心的	关心的 interested
国际的	国际的 international
在空中	在空中 intheair overhead
在白天	在白天 intheday inthedaytime
在白昼	在白昼 inthedaytime
远距离	远距离 inthedistance
在当中	在当中 inthemiddleof
爱尔兰	爱尔兰 Ireland
铁制品	铁制品 iron
烫衣板	烫衣板 ironingboard
岛状物	岛状物 island
意大利	意大利 Italy
它自己	它自己 itself
它本身	它本身 itself
起重器	起重器 jack
千万顶	千万顶 jack
日本国	日本国 Japan
日本的	日本的 Japanese
日本语	日本语 Japanese
日本人	日本人 Japanese
吉普车	吉普车 jeep
犹太人	犹太人 Jew
约翰逊	约翰逊 Johnson
约翰西	约翰西 Johnsy
开玩笑	开玩笑 joke makefunof playajoke
审判员	审判员 judge
初级的	初级的 junior
等一下	等一下 justaminute
大袋鼠	大袋鼠 kangaroo
凯特的	凯特的 Kate's
作记录	作记录 keeparecord
饲养员	饲养员 keeper
看守人	看守人 keeper
不接近	不接近 keepoff
肯塔基	肯塔基 Kentucky
和蔼的	和蔼的 kind
友爱的	友爱的 kind
仁慈的	仁慈的 kind merciful
和善的	和善的 kind
幼儿园	幼儿园 kindergarten
实验室	实验室 lab laboratory
劳动力	劳动力 labor labour workforce
小伙子	小伙子 lad
不久前	不久前 lately
潜在的	潜在的 latent
潜伏的	潜伏的 latent
最近的	最近的 latest next
最新的	最新的 latest
法学家	法学家 lawyer
懒惰的	懒惰的 lazy
领导人	领导人 leader
领导的	领导的 leading
一张［	一张［ leaf
倾斜的	倾斜的 leaning
博学的	博学的 learned
学习者	学习者 learner
初学者	初学者 learner
最小的	最小的 least
最少的	最少的 least
最少地	最少地 least
剩余的	剩余的 leftover
剩下的	剩下的 leftover
把借给	把借给 lend lent
更少的	更少的 less
较少的	较少的 less
更少地	更少地 less
较少地	较少地 less
让进来	让进来 letin
水平线	水平线 level
使自由	使自由 liberate setfree
图书馆	图书馆 library
图书室	图书室 library
救生艇	救生艇 lifeboat
浅色的	浅色的 light
轻微地	轻微地 lightly slightly
有限的	有限的 limited
瘸着走	瘸着走 limp
生产线	生产线 line
仔细听	仔细听 listen
很少的	很少的 little
生动的	生动的 lively
活泼的	活泼的 lively
靠生活	靠生活 liveon liveon
活着的	活着的 living
起居室	起居室 livingroom sittingroom
当地的	当地的 local
地方的	地方的 local
孤独的	孤独的 lonely
荒凉的	荒凉的 lonely
长时间	长时间 long
极想念	极想念 long
长期的	长期的 longterm
看不起	看不起 lookdownupon
向上看	向上看 lookup
］查寻	］查寻 lookup
织布机	织布机 loom
松散的	松散的 loose
宽松的	宽松的 loose
发脾气	发脾气 loseone'stemper
嗓子哑	嗓子哑 loseone'svoice
降体重	降体重 loseweight
大声的	大声的 loud
响亮的	响亮的 loud
吵闹的	吵闹的 loud
可爱的	可爱的 lovely
好看的	好看的 lovely nice
发疯的	发疯的 mad
疯狂的	疯狂的 mad
华丽的	华丽的 magnificent
豪华的	豪华的 magnificent
邮递员	邮递员 mailman postman
大体上	大体上 mainly
主要地	主要地 mainly mostly
大部分	大部分 mainly massesof most mostly
较大的	较大的 major
大多数	大多数 majority massesof most
向猛冲	向猛冲 makeadivefor
做鬼脸	做鬼脸 makeaface makefaces
做苦脸	做苦脸 makeaface
犯错误	犯错误 makeamistake
交朋友	交朋友 makefriends
讲得通	讲得通 makesense
用造句	用造句 makesentenceswith
男性的	男性的 male
马利特	马利特 Mallet
管理人	管理人 manager
人造的	人造的 manmade
人工的	人工的 manmade
许多的	许多的 many most
许多人	许多人 many more most
男教师	男教师 master
最大量	最大量 maximum
一餐饭	一餐饭 meal
一顿饭	一顿饭 meal
意思是	意思是 mean meant
意味着	意味着 mean meant
纪念章	纪念章 medal
医学的	医学的 medical
医疗的	医疗的 medical
内科学	内科学 medicine
会议室	会议室 meetingroom
纪念物	纪念物 memorial monument
纪念碑	纪念碑 memorial monument
记忆力	记忆力 memory
存贮器	存贮器 memory
男厕所	男厕所 men'sroom
精神的	精神的 mental spiritual
脑力的	脑力的 mental
精神上	精神上 mentally
智力上	智力上 mentally
宽大的	宽大的 merciful
仅仅的	仅仅的 mere
只不过	只不过 merely
欢乐地	欢乐地 merrily
愉快地	愉快地 merrily
金属的	金属的 metallic
显微镜	显微镜 microscope
百万个	百万个 million
矿物质	矿物质 mineral
无机物	无机物 mineral
减去的	减去的 minus
未看见	未看见 miss
没看到	没看到 miss
弄错的	弄错的 mistaken
错误的	错误的 mistaken wrong
混合物	混合物 mixture
模特儿	模特儿 model
现代的	现代的 modern
星期一	星期一 Monday
放债者	放债者 moneylender
道德的	道德的 moral
道义的	道义的 moral
越来越	越来越 moreandmore
发霉的	发霉的 mouldy
美洲狮	美洲狮 mountainlion
多山的	多山的 mountainous
小胡子	小胡子 moustache
满口的	满口的 mouthful
朝前走	朝前走 moveon
挪过去	挪过去 moveover
莫扎特	莫扎特 Mozart
软湿的	软湿的 mud
使相乘	使相乘 multiply
木乃伊	木乃伊 mummy
杀人犯	杀人犯 murderer
低声说	低声说 murmur
博物馆	博物馆 museum
音乐的	音乐的 musical
音乐片	音乐片 musical
音乐家	音乐家 musician
一定是	一定是 must
必定是	必定是 must
我自己	我自己 myself
神秘的	神秘的 mysterious
拿破仑	拿破仑 Napoleon
狭窄的	狭窄的 narrow
国家的	国家的 national
民族的	民族的 national
本地人	本地人 native
本国人	本国人 native
本地的	本地的 native
本国的	本国的 native
自然界	自然界 natural nature
自然的	自然的 natural
天然的	天然的 natural
自然地	自然地 naturally
天然地	天然地 naturally
顽皮的	顽皮的 naughty
淘气的	淘气的 naughty
附近的	附近的 nearby
整洁的	整洁的 neat
熟练的	熟练的 neatly practised skilled
灵巧的	灵巧的 neatly smart
必需的	必需的 necessary
必要的	必要的 necessary
黑人的	黑人的 Negro
尼莉莎	尼莉莎 Nerissa
网状物	网状物 net
没关系	没关系 nevermind
不要紧	不要紧 nevermind
新泽西	新泽西 NewJersey
新西兰	新西兰 NewZealand
隔壁的	隔壁的 next
紧接的	紧接的 next
下一次	下一次 next
下一步	下一步 next
尼古丁	尼古丁 nicotine
外甥女	外甥女 niece
诺贝尔	诺贝尔 Nobel
高贵的	高贵的 noble
贵族的	贵族的 noble
没有人	没有人 nobody none
谁也不	谁也不 nobody
打招呼	打招呼 nod
嘈杂声	嘈杂声 noise
嘈杂的	嘈杂的 noisy
喧闹的	喧闹的 noisy
不停的	不停的 nonstop
正常的	正常的 normal
正规的	正规的 normal
北方的	北方的 north northern
北部的	北部的 northern
向北方	向北方 northward
根本不	根本不 notatall
笔记簿	笔记簿 notebook
注意到	注意到 notice
直到才	直到才 notuntil
十一月	十一月 November
不时地	不时地 nowandthen
保育员	保育员 nurse
疗养所	疗养所 nursinghome
坚果核	坚果核 nut
硬壳果	硬壳果 nut
明显的	明显的 obvious sharp
显著的	显著的 obvious
显然地	显然地 obviously
大洋洲	大洋洲 Oceania
办公室	办公室 office
官方的	官方的 official
正式的	正式的 official regular
可以行	可以行 okay
年老的	年老的 old
古老的	古老的 old
在时刻	在时刻 on
在农场	在农场 onafarm
不停地	不停地 onandon
在船上	在船上 onboard
接连地	接连地 oneafteranother
有一天	有一天 oneday
某一天	某一天 oneday
在度假	在度假 onholiday
洋葱头	洋葱头 onion
仅有的	仅有的 only
独立地	独立地 onone'sown
独自地	独自地 onone'sown
相反地	相反地 onthecontrary
在左边	在左边 ontheleft
在右边	在右边 ontheright
在途中	在途中 ontheway
在路上	在路上 ontheway
到上面	到上面 onto
开着的	开着的 open
开放的	开放的 open
开口的	开口的 open
动手术	动手术 operate
接线员	接线员 operator
对面的	对面的 opposite
相对的	相对的 opposite
相反的	相反的 opposite
口述的	口述的 oral
橙色的	橙色的 orange
桔色的	桔色的 orange
定货单	定货单 order
整齐的	整齐的 orderly
平常的	平常的 ordinary usual
要不然	要不然 orelse otherwise
组织者	组织者 organizer
另外的	另外的 other
其它的	其它的 other theothers
总应该	总应该 ought oughtto
我们的	我们的 our ours
户外的	户外的 outdoor
室外的	室外的 outdoor
在户外	在户外 outdoors
在野外	在野外 outdoors
外部的	外部的 outer
外面的	外面的 outer
够不着	够不着 outofone'sreach
看不见	看不见 outofsight
在外面	在外面 outside
在头上	在头上 overhead
猫头鹰	猫头鹰 owl
自己的	自己的 own
所有者	所有者 owner
所有制	所有制 ownership
太平洋	太平洋 Pacific
塞满的	塞满的 packed
满座的	满座的 packed
发工资	发工资 paid pay
痛苦的	痛苦的 painful
使痛的	使痛的 painful
痛苦地	痛苦地 painfully
绘画者	绘画者 painter
油画家	油画家 painter
水彩画	水彩画 painting
苍白的	苍白的 pale
薄煎饼	薄煎饼 pancake
控制板	控制板 panel
特殊的	特殊的 particular peculiar special
个别的	个别的 particular
部分地	部分地 partly
兼职的	兼职的 parttime
通行证	通行证 pass
不过问	不过问 passby
过路人	过路人 passenger passerby
下判决	下判决 passjudgement
昏过去	昏过去 passout
耐心的	耐心的 patient
和平的	和平的 peaceful
和平地	和平地 peacefully
安宁地	安宁地 peacefully
奇怪的	奇怪的 peculiar strange
铅笔盒	铅笔盒 pencilbox
青霉素	青霉素 penicillin
养老金	养老金 pension
百分之	百分之 percent
百分率	百分率 percentage
完美的	完美的 perfect
极好地	极好地 perfectly wonderfully
完美地	完美地 perfectly
表演者	表演者 performer
演奏者	演奏者 performer
个人的	个人的 personal
私人的	私人的 personal private
菲律宾	菲律宾 Philippines
打电话	打电话 phone ring ringup rung telephone
影印机	影印机 photocopier
摄影师	摄影师 photographer
物理的	物理的 physical
身体的	身体的 physical
体力上	体力上 physical
物理学	物理学 physics
钢琴家	钢琴家 pianist
图画书	图画书 picturebook
皮埃尔	皮埃尔 Pierre
飞行员	飞行员 pilot
粉红色	粉红色 pink
开拓者	开拓者 pioneer settler
输送管	输送管 pipe
平易的	平易的 plain
朴素的	朴素的 plain simple
玩游戏	玩游戏 play
运动者	运动者 player
弹钢琴	弹钢琴 playthepiano
舒适的	舒适的 pleasant
充足的	充足的 plentyof
诗体文	诗体文 poem
小数点	小数点 point
有毒的	有毒的 poisonous
警察局	警察局 policestation
政治的	政治的 political
政治家	政治家 politician
贫穷的	贫穷的 poor
可怜的	可怜的 poor wretched
不好的	不好的 poor
流行的	流行的 popstar
大众的	大众的 popstar
鲍西娅	鲍西娅 Portia
可能的	可能的 possible
可能地	可能地 possibly
明信片	明信片 postcard
广告画	广告画 poster
战后的	战后的 postwar
马铃薯	马铃薯 potato
有力的	有力的 powerful
强大的	强大的 powerful
软弱的	软弱的 powerless
发电站	发电站 powerstation
应用的	应用的 practical
精通的	精通的 practised
大草原	大草原 prairie
婴儿车	婴儿车 pram
宝贵的	宝贵的 precious
珍贵的	珍贵的 precious rare
更喜欢	更喜欢 prefer
在场的	在场的 present
出席的	出席的 present
俊俏的	俊俏的 pretty
无价的	无价的 priceless
极贵的	极贵的 priceless
打印机	打印机 printer
印刷术	印刷术 printing
很可能	很可能 probably
制作法	制作法 process
有希望	有希望 promise
有指望	有指望 promise
适当的	适当的 proper
本来的	本来的 proper
适当地	适当地 properly
自豪的	自豪的 proud
骄傲的	骄傲的 proud
骄傲地	骄傲地 proudly
自豪地	自豪地 proudly
公众的	公众的 public
公共的	公共的 public
公开的	公开的 public
出版社	出版社 publishinghouse
牵引力	牵引力 pull
抽水机	抽水机 pump
小学生	小学生 pupil
纯净的	纯净的 pure
使纯净	使纯净 purify
使洁净	使洁净 purify
贴广告	贴广告 putup
使迷惑	使迷惑 puzzle
使为难	使为难 puzzle
迷惑的	迷惑的 puzzled
困惑的	困惑的 puzzled troubled
金字塔	金字塔 pyramid
为争吵	为争吵 quarrelabout
一刻钟	一刻钟 quarter
安静的	安静的 quiet
平静的	平静的 quiet smooth
安静地	安静地 quietly
相当多	相当多 quiteafew
种族的	种族的 racial
放射物	放射物 radiation
无线电	无线电 radio
收音机	收音机 radio
放射性	放射性 radioactivity
一场雨	一场雨 rainfall
降雨量	降雨量 rainfall
使升高	使升高 raise
拉姆齐	拉姆齐 Ramsay
稀有的	稀有的 rare
相当地	相当地 rather
是而不	是而不 ratherthan
阅览室	阅览室 readingroom
有准备	有准备 ready
认识到	认识到 realise realize
意识到	意识到 realize
反叛者	反叛者 rebel
新近的	新近的 recent
近来的	近来的 recent
接待处	接待处 receptiondesk
接待员	接待员 receptionist
录音机	录音机 recorder
再循环	再循环 recycle recycling
红色的	红色的 red
红棕色	红棕色 reddishbrown
参考书	参考书 reference
规则的	规则的 regular
固定的	固定的 regular
规则地	规则地 regularly
相对性	相对性 relativity
宗教的	宗教的 religious
虔诚的	虔诚的 religious
剩余物	剩余物 remainder
异常的	异常的 remarkable unusual
通讯员	通讯员 reporter
共和国	共和国 republic
评论者	评论者 reviewer
评论家	评论家 reviewer
革命者	革命者 revolutionary
革命的	革命的 revolutionary
富裕的	富裕的 rich
有钱的	有钱的 rich
人力车	人力车 rickshaw
使摆脱	使摆脱 rid
成熟的	成熟的 ripe
起细浪	起细浪 ripple
罗伯特	罗伯特 Robert
鲁滨逊	鲁滨逊 Robinson
机器人	机器人 robot
大石头	大石头 rock
摇动的	摇动的 rocking wagging
玫瑰花	玫瑰花 rose
粗糙的	粗糙的 rough roughly
粗暴地	粗暴地 roughly
循环地	循环地 round
环形的	环形的 round
使集拢	使集拢 roundup
无礼的	无礼的 rude
粗鲁的	粗鲁的 rude
铃响环	铃响环 rung
自来水	自来水 runningwater
跑上去	跑上去 runup
跑过去	跑过去 runup
俄罗斯	俄罗斯 Russia
俄国人	俄国人 Russian
沙沙响	沙沙响 rustle
难过的	难过的 sad sorry upset
悲哀的	悲哀的 sad
忧愁的	忧愁的 sad
悲伤的	悲伤的 sad
难过地	难过地 sadly
悲哀地	悲哀地 sadly
伤心地	伤心地 sadly
痛心地	痛心地 sadly
安全的	安全的 safe
平安的	平安的 safe
售货员	售货员 salesman shopassistant
盐湖城	盐湖城 SaltLakeCity
含盐的	含盐的 salty
同一的	同一的 same
同样的	同样的 same
三明治	三明治 sandwich
旧金山	旧金山 SanFrancisco
星期六	星期六 Saturday
调味汁	调味汁 sauce
锯木厂	锯木厂 sawmill
向问好	向问好 sayhelloto
缺乏的	缺乏的 scarce
不足的	不足的 scarce
风景区	风景区 scenicspot
奖学金	奖学金 scholarship
科学的	科学的 scientific
科学家	科学家 scientist
苏格兰	苏格兰 Scotland
斯科特	斯科特 Scott
尖叫声	尖叫声 scream
荧光屏	荧光屏 screen
使坐下	使坐下 seat
使就座	使就座 seat
第二日	第二日 second
第二秒	第二秒 second
第二个	第二个 second
二手货	二手货 secondhand
用过的	用过的 secondhand
秘密的	秘密的 secret
隐蔽的	隐蔽的 secret
种子穗	种子穗 seedhead
塞纳河	塞纳河 Seine
较高的	较高的 senior
感觉到	感觉到 sense
传感器	传感器 sensor
分离的	分离的 separate
分离地	分离地 separately
单独地	单独地 separately
各自地	各自地 separately
严肃的	严肃的 serious severe
卷头发	卷头发 set
使爆炸	使爆炸 setfireto
使爆发	使爆发 setfireto
使燃烧	使燃烧 setonfire
放火烧	放火烧 setonfire
住宅区	住宅区 settlement settlement
移居者	移居者 settler
破旧的	破旧的 shabby
蹩脚的	蹩脚的 shabby
阴凉处	阴凉处 shade
遮光帘	遮光帘 shade
肤浅的	肤浅的 shallow
锋利的	锋利的 sharp
牧羊人	牧羊人 shepherd
使发光	使发光 shine
使发亮	使发亮 shine
使震惊	使震惊 shock
到商店	到商店 shop
营业员	营业员 shopassistant
射击声	射击声 shot
领出去	领出去 showout
害羞的	害羞的 shy
羞怯的	羞怯的 shy
夏洛克	夏洛克 Shylock
怕羞地	怕羞地 shyly
胆小地	胆小地 shyly
患病的	患病的 sick
生病的	生病的 sick
想呕吐	想呕吐 sick
恶心的	恶心的 sick
向侧面	向侧面 sideway
作手势	作手势 sign
沉默的	沉默的 silent
无声的	无声的 silent
丝织品	丝织品 silk
糊涂的	糊涂的 silly
愚蠢的	愚蠢的 silly stupid
类似的	类似的 similar
单纯的	单纯的 simple
简单的	简单的 simple
简易的	简易的 simple
纯朴的	纯朴的 simpleminded
简单地	简单地 simply
真诚地	真诚地 sincerely
新加坡	新加坡 Singapore
歌唱家	歌唱家 singer
单一的	单一的 single
单个的	单个的 single
坐起来	坐起来 situp
去滑冰	去滑冰 skating swimming
极瘦的	极瘦的 skinny
幻灯片	幻灯片 slide
使滑动	使滑动 slide
轻微的	轻微的 slight
微小的	微小的 slight tiny
轻蔑地	轻蔑地 slightly
微小地	微小地 slightly
细小地	细小地 slightly
细长的	细长的 slim
苗条的	苗条的 slim
悄悄走	悄悄走 slip
不聪明	不聪明 slow
慢慢地	慢慢地 slowly
聪敏的	聪敏的 smart
闻气味	闻气味 smell
史密斯	史密斯 Smith
吸烟者	吸烟者 smoker
光滑的	光滑的 smooth soft
打喷嚏	打喷嚏 sneeze
暴风雪	暴风雪 snowstorm
社会的	社会的 social
社交的	社交的 social
软饮料	软饮料 softdrink
使变软	使变软 soften
柔软地	柔软地 softly
固体的	固体的 solid
一部分	一部分 some
一些人	一些人 someothers
其他人	其他人 someothers
某东西	某东西 something
在某处	在某处 somewhere
分类室	分类室 sortingroom
结果是	结果是 sothat
听起来	听起来 sound
南方的	南方的 south southern
南部的	南部的 southern
苏联的	苏联的 Soviet
西班牙	西班牙 Spain
多余的	多余的 spare
发火花	发火花 sparkle
说话者	说话者 speaker
讲演者	讲演者 speaker
扬声器	扬声器 speaker
大声讲	大声讲 speakout
特别的	特别的 special
拼写法	拼写法 spelling
巨头鲸	巨头鲸 spermwhale
心灵的	心灵的 spiritual
吐唾沫	吐唾沫 spit
灿烂的	灿烂的 splendid
壮丽的	壮丽的 splendid
壮观的	壮观的 splendid
口语的	口语的 spoken
运动会	运动会 sport sportsmeet
向喷射	向喷射 spray
正方形	正方形 square
体育场	体育场 stadium
标准的	标准的 standard
盯着看	盯着看 stare stareat
起跑点	起跑点 startingpoint
出发点	出发点 startingpoint
不睡觉	不睡觉 stayup
稳定地	稳定地 steadily
稳固地	稳固地 steadily
平稳的	平稳的 steady
水蒸气	水蒸气 steam
险峻的	险峻的 steep
陡峭的	陡峭的 steep
脚步声	脚步声 step
逐步的	逐步的 stepbystep
逐渐的	逐渐的 stepbystep
踩油门	踩油门 steponthegas
小树枝	小树枝 stick
寂静的	寂静的 still
静止的	静止的 still
记秒表	记秒表 stopwatch
暴风雨	暴风雨 storm
故事书	故事书 storybook
陌生的	陌生的 strange
陌生人	陌生人 stranger
严格的	严格的 strict
强壮的	强壮的 strong
坚强的	坚强的 strong
坚固的	坚固的 strong
工作室	工作室 studio workroom
演播室	演播室 studio
成功的	成功的 successful
成功地	成功地 successfully
这样的	这样的 such
那样的	那样的 such
突然的	突然的 sudden
突然地	突然地 suddenly
苏伊士	苏伊士 Suez
合适的	合适的 suitable
适宜的	适宜的 suitable
使适合	使适合 suitto
使适应	使适应 suitto
晒黑的	晒黑的 sunburnt
星期日	星期日 Sunday
太阳镜	太阳镜 sunglasses
睛朗的	睛朗的 sunny
贮藏量	贮藏量 supply
确信的	确信的 sure
幸存者	幸存者 survival
运动衣	运动衣 sweater
套头衫	套头衫 sweater
瑞典人	瑞典人 Swede
亲切地	亲切地 sweetly
游泳池	游泳池 swimmingpool
开电灯	开电灯 switchon
交响乐	交响乐 symphony
乒乓球	乒乓球 tabletennis
看一下	看一下 takealookat
使吃惊	使吃惊 takebysurprise
吃食物	吃食物 takefood
别着急	别着急 takeiteasy
别紧张	别紧张 takeiteasy
坐火车	坐火车 takethetrain
驯服的	驯服的 tame
录音带	录音带 tape
技术的	技术的 technical
技能的	技能的 technical
工艺的	工艺的 technical
工艺学	工艺学 technology
电报机	电报机 telegraph
电话机	电话机 telephone
望远镜	望远镜 telescope
电视机	电视机 television TVset
脆弱的	脆弱的 tender
好几万	好几万 tensofthousands
极坏的	极坏的 terrible
使恐怖	使恐怖 terrify
教科书	教科书 textbook
感谢的	感谢的 thankful
没什么	没什么 That'sallright
北冰洋	北冰洋 theArcticOcean
印度洋	印度洋 theIndianOcean
他们的	他们的 their
她们的	她们的 their
它们的	它们的 their theirs
前两年	前两年 thelasttwoyears
麻烦事	麻烦事 thematter
相对论	相对论 TheoryofRelativity
前几天	前几天 theotherday
在那儿	在那儿 there
往那儿	往那儿 there
科学馆	科学馆 theScienceMuseum
颐和园	颐和园 theSummerPalace
市议会	市议会 theTownCouncil
联合国	联合国 theUnitedNations UnitedNations
茂密地	茂密地 thickly
葱葱地	葱葱地 thickly
思想家	思想家 thinker
干燥的	干燥的 thirsty
口渴的	口渴的 thirsty
彻底的	彻底的 thorough
沉思地	沉思地 thoughtfully
向扔去	向扔去 throwat
把扔给	把扔给 throwto
星期四	星期四 Thursday
牢固地	牢固地 tightly
极小的	极小的 tiny
使疲倦	使疲倦 tire
使厌倦	使厌倦 tire
使疲劳	使疲劳 tire
疲劳的	疲劳的 tired
老实说	老实说 tobehonest
洗手间	洗手间 toilet
西红柿	西红柿 tomato
在明天	在明天 tomorrow
最高处	最高处 top
玳瑁壳	玳瑁壳 tortoiseshell
强硬的	强硬的 tough
粗暴的	粗暴的 tough
旅游业	旅游业 tourism
旅行者	旅行者 tourist
观光者	观光者 tourist
拖拉机	拖拉机 tractor
训练者	训练者 trainer
训练人	训练人 trainer
把译成	把译成 translateinto
恶作剧	恶作剧 trick
不安的	不安的 troubled upset
讨厌的	讨厌的 troublesome
逃学者	逃学者 truant
真实地	真实地 truly
试试看	试试看 tryon
选拔赛	选拔赛 tryout
星期二	星期二 Tuesday
变绿色	变绿色 turngreen
求救于	求救于 turnto
求助于	求助于 turnto
求教于	求教于 turnto
电视剧	电视剧 TVplay
拨弦声	拨弦声 twang
第十二	第十二 twelfth
第二十	第二十 twentieth
二十四	二十四 twentyfour
双胞胎	双胞胎 twins
打字机	打字机 typewriter
打字员	打字员 typist
丑陋的	丑陋的 ugly
难看的	难看的 ugly
不能的	不能的 unable
不会的	不会的 unable
不确定	不确定 uncertain
向下面	向下面 under
地下的	地下的 underground
专一的	专一的 undivided
专心的	专心的 undivided
脱衣服	脱衣服 undress
琐碎的	琐碎的 unimportant
联合会	联合会 union
统一的	统一的 united
联合的	联合的 united
如果不	如果不 unless
失败的	失败的 unsuccessful
原样的	原样的 untouched
奇异的	奇异的 unusual
向上面	向上面 up
来回地	来回地 upanddown
在楼上	在楼上 upstairs
往楼上	往楼上 upstairs
楼上的	楼上的 upstairs
正在干	正在干 upto
向上的	向上的 upward
往上的	往上的 upward
乌拉尔	乌拉尔 Ural
有用的	有用的 useful valuable
无用的	无用的 useless
动脑筋	动脑筋 useone'shead
通常的	通常的 usual
自负的	自负的 vain
值钱的	值钱的 valuable
重要性	重要性 value
瓦格斯	瓦格斯 Vargas
威尼斯	威尼斯 Venice
恰好的	恰好的 very
视频的	视频的 video
维也纳	维也纳 Vienna
观看者	观看者 viewer
葡萄树	葡萄树 vine
暴力的	暴力的 violent
小提琴	小提琴 violin
访问者	访问者 visitor
参观者	参观者 visitor
词汇表	词汇表 vocabulary
说话声	说话声 voice
摆动的	摆动的 wagging
服务员	服务员 waiter
威尔士	威尔士 Wales
步行者	步行者 walker
竞走者	竞走者 walker
暖和的	暖和的 warm
温暖的	温暖的 warm
热情的	热情的 warm warmhearted
亲切的	亲切的 warm warmhearted
热血的	热血的 warmblooded
使暖和	使暖和 warmup
华盛顿	华盛顿 Washington
废弃的	废弃的 waste
峰火台	峰火台 watchtower
蜡状物	蜡状物 wax
虚弱的	虚弱的 weak
富有的	富有的 wealthy
气象员	气象员 weatherman
织布工	织布工 weaver
编织者	编织者 weaver
星期三	星期三 Wednesday
每周的	每周的 weekly
身体好	身体好 well
出名的	出名的 wellknown
韦斯利	韦斯利 Wesley
西方的	西方的 west western
西部的	西部的 western
西方人	西方人 westerner
多雨的	多雨的 wet
怎么样	怎么样 what
在哪里	在哪里 where
往哪里	往哪里 where
哪一个	哪一个 which
和同时	和同时 while
口哨声	口哨声 whistle
打口哨	打口哨 whistle
白色的	白色的 white
怎么啦	怎么啦 why
宽阔的	宽阔的 wide
广泛的	广泛的 wide
广阔地	广阔地 wide widely
全部地	全部地 wide
广泛地	广泛地 widely
野生的	野生的 wild
疯狂地	疯狂地 wildly
急切地	急切地 wildly
乐意地	乐意地 willingly
有风的	有风的 windy
风大的	风大的 windy
获胜者	获胜者 winner
英明的	英明的 wise
在一起	在一起 with
轻易地	轻易地 withease
残忍地	残忍地 withoutmercy
不知道	不知道 wonder
精彩的	精彩的 wonderful
精彩地	精彩地 wonderfully
伐木工	伐木工 woodcutter
木制的	木制的 wooden
制订出	制订出 workout
有旧的	有旧的 worn
穿坏的	穿坏的 worn
焦虑的	焦虑的 worried
烦恼的	烦恼的 worried
更坏的	更坏的 worse
更差的	更差的 worse
最坏的	最坏的 worst
值得的	值得的 worth
相称的	相称的 worthy
悲惨的	悲惨的 wretched
写信给	写信给 writeto
邪恶的	邪恶的 wrong
不对的	不对的 wrong
X射线	X射线 Xray
年轻的	年轻的 young
年幼的	年幼的 young
你们的	你们的 your yours
你自己	你自己 yourself
动物园	动物园 zoo
算盘	算盘 abacus
一盆	一盆 abasinof
艾贝	艾贝 Abe
能力	能力 ability energy
才能	才能 ability
能够	能够 able beabletodosth can
一瓶	一瓶 abottleof
大约	大约 about orso
周围	周围 about surrounding
关于	关于 about on
上面	上面 above top upside
首先	首先 aboveall firstofall foronething
首要	首要 aboveall
缺席	缺席 absence
缺乏	缺乏 absence lack
不在	不在 absence
吸收	吸收 absorb
吸引	吸引 absorb attract
口音	口音 accent
音调	音调 accent
承认	承认 accept admit recognize
接受	接受 accept
答应	答应 accept makeapromise permission promise
事故	事故 accident
